30-DEC-21,30-DEC-21,1953,776484,CIN-,900.00,0.00,934.64879
,,,,0240568301220210000,,,934.64879
,,,,8NGP LINKCELL,,,
01-JAN-22,01-JAN-22,1745,000000776483,CHQPAID-MICR,"9,720.00",0.00,"924,928.79"
,,,,INWARD CLEARING-,,,
,,,,PVARAND,,,
,,,,ASSOCIATES-PUNJAB,,,
,,,,NATIONAL BANK (PNB),,,
,,,,-PUNJAB NATIONAL,,,
,,,,BANK,,,
06-JAN-22,06-JAN-22,1745,000000776485,CHQ PAID-MICR,300.00,0.00,"924,628.79"
,,,,INWARD CLEARING,,,
,,,,SUMIT LOOMBA SO,,,
,,,,SH VIRE-UNION BANK,,,
,,,,OF INDIA (UBI)-UNION,,,
,,,,BANK OF INDIA,,,
14-JAN-22,14-JAN-22,1745,000000776486,CHQ PAID-MICR,300.00,0.00,"924,328.79"
,,,,INWARD CLEARING-,,,
,,,,SUMIT LOOMBA SO,,,
,,,,SH. VIRE-UNION BANK,,,
,,,,OF INDIA (UBI)-UNION,,,
,,,,BANK QF.INDIA,,,
02-FEB-22,02-FEB-22,18556,000000776487,NEFT DR-,"66,716.00",0.00,"857,612.79"
,,,,P033220151107033-,,,
,,,,RBISOGSTPMT-GST-,,,
02-FEB-22,02-FEB-22,18556,,NEFT SC,6.00,0.00,"857,606.79"
 08-MAR-22,08-MAR-22,1745,000000599054,BY CLG:DEL ACCTS-,0.00,"293,800.00","1,151,406.79"
,,,,"AXIS BANK LTD,",,,
,,,,INPROSPER,,,
,,,,INFRASTRUCTURE,,,
19-MAR-22,19-MAR-22,18556,,SMS ALERT CHARGES,30.00,0.00,"1,151,376.79"
,,,,CA,,,
25-MAR-22,25-MAR-22,18556,000237776488,RTGS DR-,"900,000.00",0.00,"251,376:79"
,,,,CNRBR5202203257940,,,
,,,,0355-ICIC0006286,,,
,,,,EXPERT CAPITAL,,,
,,,,SERVICES (P) LTD-,,,
25-MAR-22,25-MAR-22,18556,,"RTGS 00,00 TO 11.00",58.00,0.00,"251,318:79"
