,,,,LOOMBA AND ASSOCI,,,
,,,,- UBI,,,
20-JAN-21,20-JAN-21,19001,340062370631,TO CLG CHEQUE,"9,945.00",0.00,"131,125.79"
,,,,PAID IN CLEARING -,,,
,,,,SERVBR-DELHI- FOR,,,
,,,,PAYEE PVAR AND,,,
,,,,ASSOCIATES - PNB,,,
29-JAN-21,29-JAN-21,9999,370632,CIN-,675.00,0.00,"130,450.79"
,,,,0240558290120210000,,,
,,,,5HO,,,
30-JAN-21,30-JAN-21,1745,000000370633,CHQPAID-MICR,600.00,0.00,"129,850.79"
,,,,INWARD CLEARING-,,,
,,,,SUMIT LOOMBA SO,,,
,,,,SH VIRE-UNION BANK,,,
,,,,OF INDIA (UBI)-UNION,,,
,,,,BANK OF INDIA,,,
01-FEB-21,01-FEB-21,18556,,DEBIT CARDANNUAL,142.00,0.00,"129,708.79"
,,,,CHARGES,,,
01-FEB-21,01-FEB-21,18556,,PLATINUMDEBIT,236.00,0.00,"129,472.79"
,,,,CARD ANNUAL,,,
,,,,CHARGES,,,
01-FEB-21,01-FEB-21,18556,,REV:DEBIT CARD,0.00,142.00,"129,614.79"
,,,,ANNUAL CHARGES,,,
U1-FEB-21,01-FEB-21,18556,,REV:PLATINUM DEBIT,0.00,236.00,"129,850.79"
,,,,CARD ANNUAL,,,
,,,,CHARGES,,,
15-FEB-21,15-FEB-21,18556,000000030676,FUNDS TRANSFER,0.00,"300,000.00","429,850.79"
,,,,DEBIT85563070000477,,,
,,,,-EXPERT CAPITAL,,,
,,,,SERVI,,,
15-FEB-21,15-FEB-21,18556,000000370636,RTGSDR-,"392,600.00",0.00,"37,250.79"
,,,,PUNB0067400-,,,
,,,,NAVEEN KUMAR-,,,
,,,,GHAZIABAD(M)-,,,
,,,,CNRBR5202102155753,,,
,,,,5599,,,
15-FEB-21,15-FEB-21,18556,,RTGS 00.00 TO11.00,29.00,0.00,37221.79
,,,,UPTO5L SC,,,
06-MAR-21,06-MAR-21,1745,000000531202,BY CLG:DEL ACCTS-,0.00,"262,137.00","299,358.79"
,,,,"AXIS BANK LTD,",,,
20-MAR-21,20-MAR-21,18556,000000370638,NEFTDR-,"38,210.00",0.00,"261,148.79"
,,,,P079210098491501-,,,
,,,,GST-RBISOGSTPMT-,,,
,,,,GHAZIABAD(M),,,
20-MAR-21,20-MAR-21,18556,,NEFT SC,6.00,0.00,"261,142.79"
MAR-21,22-MAR-21,1745,000000370637,CHQPAID-MICR,"1,836.00",0.00,"259,306.79"
,,,,INWARD CLEARING-,,,
,,,,GHAZIABAD,,,
,,,,STATIONERY MAR-,,,
,,,,PUNJAB NATIONAL,,,
,,,,BANK (PNB)-PUNJAB,,,
,,,,NATIONALBANK,,,
27-MAR-21,27-MAR-21,18556,,SMS ALERT CHARGES,30.00,0.00,"259,276.79"
,,,,CA,,,
05-APR-21,05-APR-21,18556,,MICR CHQ BK ISSUE,590.00,0.00,"258,686.79"
,,,,OTH THAN IND SC,,,
,,,,FOR CHEQUE BOOK,,,
,,,,DELIVERY,,,
23-APR-21,23-APR-21,18556,000000370639,NEFTDR-,"10,594.00",0.00,"248,092.79"
,,,,P113210105378358-,,,
,,,,GST-RBISOGSTPMT-,,,
,,,,GHAZIABAD(M),,,
23-APR-21,23-APR-21,18556,,NEFT SC,6.00,0.00,"248,086.79"
28-APR-21,28-APR-21,9999,370640,CIN-,"72,300.00",0.00,"175,786.79"
,,,,0240558280420210000,,,
,,,,4HO,,,
01-MAY-21,01-MAY-21,18556,,SMSALERT CHARGES,730.00,0.00,"175,756.79"
,,,,CA,,,
18-MAY-21,18-MAY-21,18556,,REVSMS ALERT,0.00.,30.00,"175,786.79"
